case,method,metric,seed,value
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43013,16.8200001
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43014,17.81833344
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43015,17.82833344
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43016,18.29833343
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43017,18.35833344
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43018,18.74166678
"Waxman
(192 nodes)",Greedy,mean_censored_latency_ps,43019,18.453333436666668
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43100,16.010000116
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43101,17.480000104000002
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43102,13.798000152
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43103,18.618000104
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43104,17.04400012
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43105,19.474000092
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43106,18.844000096
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43107,16.21600012
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43108,17.776000116
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43109,16.08800012
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43110,15.968000135999999
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43111,14.264000148
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43112,13.29200016
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43113,18.904000107999998
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43114,16.43200012
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43115,17.1320001
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43116,15.196000148
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43117,15.782000132
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43118,17.100000108
"Barabási–Albert
(128 nodes)",Greedy,mean_censored_latency_ps,43119,17.17600012
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43000,19.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43001,19.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43002,15.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43003,23.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43004,23.2
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43005,18.2
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43006,23.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43007,18.5000002
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43008,19.2
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43009,22.6000002
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43010,20.6000002
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43011,19.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43012,19.6000002
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43013,19.3
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43014,15.6000002
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43015,18.2
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43016,19.2
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43017,15.6000002
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43018,22.2
"Waxman
(192 nodes)",TELGEN,p95_completion_latency_ps,43019,19.3
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43100,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43101,18.2
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43102,19.3
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43103,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43104,18.3
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43105,18.6000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43106,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43107,16.6000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43108,16.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43109,18.2
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43110,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43111,18.6000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43112,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43113,18.3
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43114,17.6000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43115,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43116,18.5000002
