arrival_batch_size,method,metric,seed,value
10,Greedy,mean_censored_latency_ps,46011,24.250000088
10,Greedy,mean_censored_latency_ps,46012,26.558000055999997
10,Greedy,mean_censored_latency_ps,46013,21.67500009
10,Greedy,mean_censored_latency_ps,46014,18.900000108
10,Greedy,mean_censored_latency_ps,46015,23.940000074
10,Greedy,mean_censored_latency_ps,46016,26.574000066
10,Greedy,mean_censored_latency_ps,46017,23.853000076
10,Greedy,mean_censored_latency_ps,46018,25.028000074
10,Greedy,mean_censored_latency_ps,46019,24.746000082
15,Greedy,mean_censored_latency_ps,46000,24.34666673733333
15,Greedy,mean_censored_latency_ps,46001,25.339333398666668
15,Greedy,mean_censored_latency_ps,46002,26.384000055999998
15,Greedy,mean_censored_latency_ps,46003,26.868666724
15,Greedy,mean_censored_latency_ps,46004,24.04600007866667
15,Greedy,mean_censored_latency_ps,46005,25.34733340266667
15,Greedy,mean_censored_latency_ps,46006,27.236666721333332
15,Greedy,mean_censored_latency_ps,46007,25.366666730666665
15,Greedy,mean_censored_latency_ps,46008,26.26000005866667
15,Greedy,mean_censored_latency_ps,46009,24.943333401333334
15,Greedy,mean_censored_latency_ps,46010,27.139333386666664
15,Greedy,mean_censored_latency_ps,46011,27.26866672
15,Greedy,mean_censored_latency_ps,46012,25.740000064
15,Greedy,mean_censored_latency_ps,46013,23.637333411999997
15,Greedy,mean_censored_latency_ps,46014,24.976666733333335
15,Greedy,mean_censored_latency_ps,46015,27.597333385333332
15,Greedy,mean_censored_latency_ps,46016,25.842666724
15,Greedy,mean_censored_latency_ps,46017,27.438000050666666
15,Greedy,mean_censored_latency_ps,46018,29.038666702666667
15,Greedy,mean_censored_latency_ps,46019,26.222000049333335
5,TELGEN,p95_completion_latency_ps,46000,15.3
5,TELGEN,p95_completion_latency_ps,46001,12.6000002
5,TELGEN,p95_completion_latency_ps,46002,14.6000002
5,TELGEN,p95_completion_latency_ps,46003,15.6000002
5,TELGEN,p95_completion_latency_ps,46004,15.6000002
5,TELGEN,p95_completion_latency_ps,46005,14.6000002
5,TELGEN,p95_completion_latency_ps,46006,15.6000002
5,TELGEN,p95_completion_latency_ps,46007,15.6000002
5,TELGEN,p95_completion_latency_ps,46008,15.3
5,TELGEN,p95_completion_latency_ps,46009,15.6000002
5,TELGEN,p95_completion_latency_ps,46010,15.6000002
5,TELGEN,p95_completion_latency_ps,46011,15.3
