arrival_batch_size,method,metric,seed,value
10,Greedy,throughput_per_slot,46008,0.8269230769230769
10,Greedy,throughput_per_slot,46009,0.9230769230769231
10,Greedy,throughput_per_slot,46010,1.0
10,Greedy,throughput_per_slot,46011,0.8846153846153846
10,Greedy,throughput_per_slot,46012,0.5384615384615384
10,Greedy,throughput_per_slot,46013,0.9615384615384616
10,Greedy,throughput_per_slot,46014,1.0769230769230769
10,Greedy,throughput_per_slot,46015,0.8269230769230769
10,Greedy,throughput_per_slot,46016,0.6730769230769231
10,Greedy,throughput_per_slot,46017,0.8269230769230769
10,Greedy,throughput_per_slot,46018,0.75
10,Greedy,throughput_per_slot,46019,0.7884615384615384
15,Greedy,throughput_per_slot,46000,1.0961538461538463
15,Greedy,throughput_per_slot,46001,1.0384615384615385
15,Greedy,throughput_per_slot,46002,0.9615384615384616
15,Greedy,throughput_per_slot,46003,0.9230769230769231
15,Greedy,throughput_per_slot,46004,1.2307692307692308
15,Greedy,throughput_per_slot,46005,1.0576923076923077
15,Greedy,throughput_per_slot,46006,0.8461538461538461
15,Greedy,throughput_per_slot,46007,1.0
15,Greedy,throughput_per_slot,46008,0.8846153846153846
15,Greedy,throughput_per_slot,46009,1.0384615384615385
15,Greedy,throughput_per_slot,46010,0.8269230769230769
15,Greedy,throughput_per_slot,46011,0.7884615384615384
15,Greedy,throughput_per_slot,46012,1.0
15,Greedy,throughput_per_slot,46013,1.2115384615384615
15,Greedy,throughput_per_slot,46014,1.0576923076923077
15,Greedy,throughput_per_slot,46015,0.8269230769230769
15,Greedy,throughput_per_slot,46016,0.8653846153846154
15,Greedy,throughput_per_slot,46017,0.7884615384615384
15,Greedy,throughput_per_slot,46018,0.5576923076923077
15,Greedy,throughput_per_slot,46019,0.8461538461538461
