20.19,15.9,3.5
20.29,17.9,1.3
20.39,18.3,0.0
20.49,17.8,0.0
20.59,18.2,0.0
20.69,18.1,0.0
20.79,18.7,0.0
20.89,18.3,0.0
20.99,18.1,0.0
21.09,18.2,0.0
21.19,18.1,0.0
21.29,17.9,0.0
21.39,18.7,0.0
21.49,18.3,0.0
21.59,18.4,0.0
21.69,18.3,0.0
21.79,17.7,0.0
21.89,18.8,0.0
21.99,17.9,0.0
22.09,18.8,0.0
22.19,18.6,0.0
22.29,18.7,0.0
22.39,18.6,0.0
22.49,18.0,0.0
22.59,18.7,0.0
22.69,17.8,0.0
22.79,18.6,0.0
22.89,17.9,0.0
22.99,19.1,0.0
23.09,17.7,0.0
23.19,18.6,0.0
23.29,17.9,0.0
23.39,17.6,0.0
23.49,18.7,0.0
23.59,17.7,0.0
23.69,18.6,0.0
23.79,17.6,0.0
23.89,18.5,0.0
23.99,17.2,0.0
24.09,18.1,0.0
24.19,17.6,0.0
24.29,18.2,0.0
24.39,18.1,0.0
24.49,18.1,0.0
24.59,18.3,0.0
24.69,17.0,0.0
24.79,18.4,0.0
24.89,17.9,0.0
24.99,18.6,0.0
25.09,17.8,0.0
25.19,18.4,0.0
25.29,17.6,0.0
25.39,17.0,0.0
25.49,18.6,0.0
25.59,17.4,0.0
25.69,19.2,0.0
25.79,16.7,0.0
25.89,17.6,0.0
25.99,17.7,0.0
26.09,18.5,0.0
26.19,17.3,0.0
26.29,18.5,0.0
26.39,17.5,0.0
26.49,17.7,0.0
26.59,18.1,0.0
26.69,18.5,0.0
26.79,17.5,0.0
26.89,17.7,0.0
26.99,18.0,0.0
27.09,18.6,0.0
27.19,18.2,0.0
27.29,18.7,0.0
27.39,18.3,0.0
27.49,18.4,0.0
27.59,18.8,0.0
27.69,18.7,0.0
27.79,19.0,0.0
27.89,18.4,0.0
27.99,18.8,0.0
28.09,18.9,0.0
28.19,18.2,0.0
28.29,19.0,0.0
28.39,18.6,0.0
28.49,19.0,0.0
28.59,18.4,0.0
28.69,18.5,0.0
28.79,18.7,0.0
28.89,18.4,0.0
28.99,18.4,0.0
29.09,19.1,0.0
29.19,18.3,0.0
29.29,19.1,0.0
29.39,18.0,0.0
29.49,18.2,0.0
29.59,18.1,0.0
29.69,19.0,0.0
29.79,17.8,0.0
29.89,18.6,0.0
29.99,16.9,0.0
