case,reference,baseline,metric,reference_mean,baseline_mean,reference_advantage_mean,ci95_low,ci95_high,paired_randomization_p,reference_wins,ties,baseline_wins
medium100,gnn,qpass,completed_requests,50.65,46.1,4.55,2.55,6.8,0.00039998000099995,15,3,2
medium100,gnn,qpass,mean_censored_latency_ps,1069332504.725,1128477504.275,59144999.55000001,25812499.785000026,92307499.425,0.003249837508124594,16,0,4
medium100,gnn,qpass,mean_decision_seconds,0.6293352834643045,0.12235245768992731,-0.506982825774377,-0.524718871155682,-0.48916093385733594,4.999750012499375e-05,0,0,20
medium100,gnn,qpass,p95_decision_seconds,0.8993745249987114,0.19552655500592664,-0.7038479699927848,-0.7360218500078191,-0.6714124899997842,4.999750012499375e-05,0,0,20
medium100,gnn,qpass,mean_planner_seconds,0.13883832960899992,0.120533087307838,-0.018305242301161904,-0.03036744576574375,-0.006639314990025014,0.006149692515374231,5,0,15
high150,gnn,greedy,completed_requests,57.6,49.0,8.6,6.15,11.25,4.999750012499375e-05,19,0,1
high150,gnn,greedy,mean_censored_latency_ps,1228725003.6233335,1302598336.3433335,73873332.71999998,50606666.216666676,96896665.85999998,0.00014999250037498125,18,0,2
high150,gnn,greedy,mean_decision_seconds,1.0233333092236605,0.20082758999599787,-0.8225057192276626,-0.8490274603827856,-0.7983718849964834,4.999750012499375e-05,0,0,20
high150,gnn,greedy,p95_decision_seconds,1.4417753099871333,0.30259996499517,-1.1391753449919633,-1.1906219999946188,-1.0906118549930397,4.999750012499375e-05,0,0,20
high150,gnn,greedy,mean_planner_seconds,0.23782484691876632,0.1987998115364462,-0.0390250353823201,-0.06053870383811255,-0.017776550391080004,0.0030998450077496125,3,0,17
high150,gnn,qcast,completed_requests,57.6,47.15,10.45,7.95,13.05,4.999750012499375e-05,20,0,0
high150,gnn,qcast,mean_censored_latency_ps,1228725003.6233335,1303645002.9533334,74919999.32999997,51713332.7666666,98758332.45333332,9.99950002499875e-05,18,0,2
high150,gnn,qcast,mean_decision_seconds,1.0233333092236605,0.10048457153517609,-0.9228487376884844,-0.949298056146542,-0.8990303607594866,4.999750012499375e-05,0,0,20
high150,gnn,qcast,p95_decision_seconds,1.4417753099871333,0.17768804499646648,-1.264087264990667,-1.3147306700178887,-1.2170209399657324,4.999750012499375e-05,0,0,20
high150,gnn,qcast,mean_planner_seconds,0.23782484691876632,0.09824341268663725,-0.13958143423212907,-0.16053413769382482,-0.1189205884561838,4.999750012499375e-05,0,0,20
high150,gnn,qpass,completed_requests,57.6,50.05,7.55,4.9,10.1,4.999750012499375e-05,18,1,1
high150,gnn,qpass,mean_censored_latency_ps,1228725003.6233335,1283588336.5,54863332.876666665,32888333.043333285,76829999.40666667,0.00024998750062496874,17,0,3
high150,gnn,qpass,mean_decision_seconds,1.0233333092236605,0.19388206384341733,-0.8294512453802432,-0.8571250949954937,-0.8041292103795478,4.999750012499375e-05,0,0,20
high150,gnn,qpass,p95_decision_seconds,1.4417753099871333,0.2964196950139012,-1.1453556149732322,-1.1960923999955413,-1.0970437699870672,4.999750012499375e-05,0,0,20
high150,gnn,qpass,mean_planner_seconds,0.23782484691876632,0.19179900692184815,-0.04602583999691818,-0.06774092384282715,-0.023802432301902002,0.0007999600019999,4,0,16
